Id;city;shopName;shopId;shopPower;mainRegionName;mainCategoryName;tasteScore;environmentScore;serviceScore;avgPrice;shopAddress;shopUrl;defaultPic;phoneNo
8926;上海;Shake Shack;113989989;45;淮海路;西式简餐;85;86;89;102;太仓路181弄新天地北里10号;http://dp01.ds.quancube.cn/shop/113989989;https://img.meituan.net/msmerchant/12e86cf0029561c8b535604aeea77b17417852.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;53018139
8927;上海;上隐水产海鲜自助餐厅;101938403;45;淮海路;自助餐;90;87;88;301;淮海中路918号百盛购物中心7楼L7-R4-5号;http://dp01.ds.quancube.cn/shop/101938403;https://img.meituan.net/msmerchant/bf5267bba0d3fd370171f22df015bd261122702.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;64181690
8928;上海;點都德;108335942;45;新天地;粤菜馆;86;86;85;123;黄陂南路838弄中海环宇荟B125号;http://dp01.ds.quancube.cn/shop/108335942;https://img.meituan.net/msmerchant/5122d93ca79cb662c52edade16e074fb224054.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;63333213
8929;上海;薪火烧肉源之屋;98404057;50;人民广场;日式烧烤/烤肉;90;90;90;356;南京东路800号第一百货商业中心C馆3F;http://dp01.ds.quancube.cn/shop/98404057;https://img.meituan.net/msmerchant/1c30d8801b9f418457169692f8be9ce2404477.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;63336673
8930;上海;壹小馆·皇城老妈小火锅;97834670;45;淮海路;小火锅;84;90;83;145;淮海中路282号;http://dp01.ds.quancube.cn/shop/97834670;https://img.meituan.net/msmerchant/e15fa9887876bf7cae2c60162fce52078050920.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;31835006
8931;上海;点都德;124136437;45;中山公园;粤菜馆;87;88;84;100;长宁路1018号龙之梦购物中心7楼;http://dp01.ds.quancube.cn/shop/124136437;https://img.meituan.net/msmerchant/1fdd21122ec2cc25e44741efc7e5a8f6305460.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;62262228
8932;上海;电台巷火锅;98958527;45;虹口足球场;重庆火锅;85;79;85;148;东江湾路444号;http://dp01.ds.quancube.cn/shop/98958527;https://img.meituan.net/msmerchant/70ada49cbfc9c7a102152d02a8670c2c27336.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;31606473
8933;上海;食八档·小网海鲜;96510734;45;淮海路;浙菜;84;86;81;79;淮海中路282号;http://dp01.ds.quancube.cn/shop/96510734;https://img.meituan.net/msmerchant/3b1e793b42ca12982f09a60e517bf6b2114331.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;63011776
8934;上海;那都不是锅港式打边炉;112133141;50;金桥;打边炉/港式火锅;91;84;89;133;荷泽路528号;http://dp01.ds.quancube.cn/shop/112133141;https://img.meituan.net/msmerchant/dbd4bd9390122be91e19dfc1d8efee5787554.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;68513971
8935;上海;亚马逊环球美食百汇;112615837;45;浦东新区;自助餐;88;89;89;297;张杨路2389弄置汇旭辉购物中心3楼;http://dp01.ds.quancube.cn/shop/112615837;https://img.meituan.net/msmerchant/99c4d9bd70605efbaba6b00ac2bddb4e159192.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;68685559
8936;上海;小大董;112229048;45;打浦桥;京菜;88;90;90;149;徐家汇路268号5层24号;http://dp01.ds.quancube.cn/shop/112229048;https://img.meituan.net/msmerchant/0f6daf00beadab39da43807541af68da1608372.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;63777817
8937;上海;九久超极烧肉;124120941;45;人民广场;日式烧烤/烤肉;89;87;83;160;西藏中路180号;http://dp01.ds.quancube.cn/shop/124120941;https://img.meituan.net/msmerchant/6631036c8fd4d0cd30dae5f1e56923375413495.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;53530182
8938;上海;荣新馆;18615887;50;虹桥;日式自助;91;91;91;367;兴义路48号新世纪广场A座3楼;http://dp01.ds.quancube.cn/shop/18615887;https://img.meituan.net/msmerchant/4ad50bf8fce588e221b2f5e62fd3187598137.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;32230128
8939;上海;楼上火锅;73498668;50;淮海路;打边炉/港式火锅;91;87;91;489;茂名南路46号2楼;http://dp01.ds.quancube.cn/shop/73498668;https://qcloud.dpfile.com/pc/IeiphWKlP14YTRd9pdTKQudlJAl92I16xyrlJSothg9NKFlv782v_07lSKhB1vWnpNCUjfxdq46d9547fdFMT7ySwTzJ2xmopuuSZkH1lSE.jpg;62470007
8940;上海;荟廷·晶萃;113125360;50;打浦桥;上海本帮菜;91;91;89;243;徐家汇路268号凯德晶萃广场4楼4-16a;http://dp01.ds.quancube.cn/shop/113125360;https://img.meituan.net/msmerchant/32c4b59448d5b0b4d2e176199163fcdc2050405.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;63770121
8941;上海;Spacelab失重餐厅;108326453;45;世纪大道;西餐;81;91;86;142;世纪大道1192号世纪汇广场L3-001;http://dp01.ds.quancube.cn/shop/108326453;https://img.meituan.net/msmerchant/6d90d1d489e6ffd009a9a8a55b5fe0da37057.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;68777071
8942;上海;五月罗马海鲜自助餐厅;76948810;40;月星环球港;自助餐;83;82;82;134;中山北路3300号环球港太阳大厅3层L3138-L3150;http://dp01.ds.quancube.cn/shop/76948810;https://img.meituan.net/msmerchant/861d011ef86e9bbf4a8085cec9e12c542223742.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;52999108
8943;上海;万岛日本料理铁板烧;13876883;50;外滩;日式铁板烧;91;89;90;377;四川中路33号创业大楼1楼;http://dp01.ds.quancube.cn/shop/13876883;https://p1.meituan.net/merchantpic/c2d7dea6de3bc43b1c206b17cce6484433421.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;63217727
8944;上海;香港華心糖水鋪;95356760;40;南京西路;甜品;78;78;78;72;南京西路790号地铺;http://dp01.ds.quancube.cn/shop/95356760;https://img.meituan.net/msmerchant/9f78e8cdbcc1685baabf2cd4248740a9838856.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;52555779
8945;上海;牛new寿喜烧;70444901;50;南京东路;自助餐;90;90;89;142;南京东路353号悦荟广场3层;http://dp01.ds.quancube.cn/shop/70444901;https://img.meituan.net/msmerchant/0b19e7234fbcbdec22c75a786fec30a041641.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;53098368
8946;上海;GREEN & SAFE;67519205;45;新天地;意大利菜;86;90;82;194;太仓路181弄新天地北里22号1层;http://dp01.ds.quancube.cn/shop/67519205;https://img.meituan.net/msmerchant/6f1fef94f3a67febb5b391a3090df08b683212.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;63860140
8947;上海;人和馆;17182037;50;徐家汇;上海本帮菜;90;92;90;124;肇嘉浜路407号;http://dp01.ds.quancube.cn/shop/17182037;https://qcloud.dpfile.com/pc/wiWvnyE2xYPjGVel0Efu6lpXy0eK8hAIt4ONw4aL33wXl9KJFrfaUqxtHoNrHabHpNCUjfxdq46d9547fdFMT7ySwTzJ2xmopuuSZkH1lSE.jpg;64030731
8948;上海;蟹尊苑;73582232;50;静安寺;大闸蟹;91;83;86;336;巨鹿路889弄21号;http://dp01.ds.quancube.cn/shop/73582232;https://img.meituan.net/msmerchant/d94caf3fe63f2bb6179b6d14550c9325159915.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;54655155
8949;上海;GROM;125052051;45;南京西路;冰淇淋;86;86;87;48;南京西路772号;http://dp01.ds.quancube.cn/shop/125052051;https://img.meituan.net/msmerchant/843d831cde8c3119f5aadcb7009652f3432045.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;52980278
8950;上海;ORO意大利提拉米苏;107726284;45;淮海路;甜品;85;85;87;64;陕西南路35号1楼1铺;http://dp01.ds.quancube.cn/shop/107726284;https://img.meituan.net/msmerchant/c95db0c995a7c5e7db7c8d543b8d5107184581.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;52725020
8951;上海;新白鹿餐厅;8009245;45;南京东路;浙菜;84;86;84;68;南京东路800号第一百货商业中心C馆9层;http://dp01.ds.quancube.cn/shop/8009245;https://img.meituan.net/msmerchant/de6bc291764dcdee173a5cdd7ff36b31173963.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;53865688
8952;上海;浅草六丁目;92652327;45;南京西路;日本料理;85;84;86;139;奉贤路286号;http://dp01.ds.quancube.cn/shop/92652327;https://img.meituan.net/msmerchant/fa66192ad88dc1e4e55071f249a4f396495334.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;62185100
8953;上海;YK烧肉居酒屋;97957320;45;徐家汇;日本料理;87;87;89;170;肇嘉浜路1111号美罗城B区二层2-11B;http://dp01.ds.quancube.cn/shop/97957320;https://img.meituan.net/msmerchant/5532e4fdf43f96c55e72b97b02bca4f9447671.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;33685207
8954;上海;香港肥汁米蘭小锅米线;91880080;40;人民广场;小吃快餐;84;77;80;50;宁波路586号-1;http://dp01.ds.quancube.cn/shop/91880080;https://img.meituan.net/msmerchant/3e327e3aba83bdd0c4e6cd502172de4532098.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;63333118
8955;上海;妈妈家;22038150;45;打浦桥;上海本帮菜;87;76;80;83;徐家汇路548-4号;http://dp01.ds.quancube.cn/shop/22038150;https://qcloud.dpfile.com/pc/UZdloZ0xE8QIQfun5Hm4UI6xfFJ9bRfm7lEXYm7WJ8b3c086Ln5hkxTzQ4mHI6dVpNCUjfxdq46d9547fdFMT7ySwTzJ2xmopuuSZkH1lSE.jpg;54666173
